"Year","Month","Day","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow","Predict.RainTomorrow","R_predicted_RainTomorrow"
2008,12,15,"Albury",8.4,24.6,0,7.0789592760181,8.62967581047381,"NW",42.6296728971963,"S","WNW",4,30,57,32,1009.7,1008.7,4.37119113573407,4.26062322946176,15.9,23.5,0,NA,0,"0"
2009,9,10,"Albury",2.6,20.6895125553914,0,5.0031076581576,7.65843091334895,"N",43.9921524663677,"E","WNW",6,13,71,55,1017.8,1017.6,3.31908396946565,6,9.7,14.3,0,NA,0,"0"
2010,2,9,"Albury",22.1,35.1,0,7.27030878859857,8.64339152119701,"SE",42.6739904988124,"ENE","SW",6,11,58,37,1020.9,1017.8,3.84745762711864,1,26.9,33.5,0,NA,0,"0"
2010,2,11,"Albury",21.5,35,0,7.27030878859857,8.64339152119701,"SE",42.6739904988124,"SSE","E",9,7,76,35,1015.8,1010.3,3.84745762711864,8,24.2,33.1,0,NA,0,"0"
2010,2,17,"Albury",15.5,30.6,0,7.27030878859857,8.64339152119701,"SE",42.6739904988124,"SE","SSW",6,11,66,30,1015.9,1013.8,3.84745762711864,4.19278996865204,19.4,30,0,NA,0,"0"
2010,2,26,"Albury",17.2,29.0105386416862,0,7.27030878859857,8.64339152119701,"SE",42.6739904988124,"NE","E",13,9,54,28,1024.6,1020.7,3.84745762711864,4.19278996865204,20.6,29.2,0,NA,0,"0"
2010,3,1,"Albury",14.4,26.8323488045007,0,5.88224598930481,7.68097826086957,"SE",38.073778664008,"SE","SSE",19,20,50,35,1018.5,1016.2,6,4.04716981132075,17.1,25.5,0,NA,0,"0"
2010,3,10,"Albury",8.8,26.8323488045007,0,5.88224598930481,7.68097826086957,"SE",38.073778664008,"SSE","SSE",9,11,69,35,1023.7,1023,3.97625329815303,1,12.5,21.8,0,NA,0,"0"
2010,8,4,"Albury",1.2,9.6,0,3.09372900335946,6.72613636363636,"N",38.8945005611672,"N","N",0,7,94,71,1019.8,1017,8,8,5.5,9.2,0,NA,0,"0"
2011,9,10,"Albury",4,20.5951565914057,0.2,4.85323149236193,7.98491017964072,"N",41.9514170040486,"W","WSW",20,30,79,47,1015.9,1013.8,3.19389312977099,3.40064620355412,9.3,15.6,0,NA,0,"0"
2011,9,11,"Albury",8.93056470108036,20.5951565914057,0.486434395848777,4.85323149236193,7.98491017964072,"N",43.6373657690563,"N","W",15.6643192488263,20.7894019848124,62.904670646783,48.5597775865192,1018.84660814046,1015.98042959427,3.75446302555146,3.85881255809114,15.1400513950073,19.0280791788856,NA,NA,0,"0"
2011,9,12,"Albury",8.93056470108036,20.5951565914057,0.486434395848777,4.85323149236193,7.98491017964072,"N",43.6373657690563,"N","W",15.6643192488263,20.7894019848124,62.904670646783,48.5597775865192,1018.84660814046,1015.98042959427,3.75446302555146,3.85881255809114,15.1400513950073,19.0280791788856,NA,NA,0,"0"
